    TIME_START     ,    TIME_END    ,    IMAGES     
,,DJI_0094.JPG
,,DJI_0107.JPG
,,DJI_0108.JPG
,,DJI_0109.JPG
,,DJI_0110.JPG
,,DJI_0144.JPG
,,DJI_0145.JPG
,,DJI_0146.JPG
,,DJI_0147.JPG
,,DJI_0160.JPG
,,DJI_0161.JPG
,,DJI_0162.JPG
,,DJI_0163.JPG
,,DJI_0198.JPG
,,DJI_0199.JPG
,,DJI_0200.JPG
,,DJI_0201.JPG
,,DJI_0213.JPG
,,DJI_0214.JPG
,,DJI_0215.JPG
,,DJI_0252.JPG
,,DJI_0253.JPG
,,DJI_0254.JPG
00:00:04:200,00:00:04:300
,,DJI_0092.JPG
,,DJI_0093.JPG
,,DJI_0094.JPG
,,DJI_0107.JPG
,,DJI_0108.JPG
,,DJI_0109.JPG
,,DJI_0144.JPG
,,DJI_0145.JPG
,,DJI_0146.JPG
,,DJI_0147.JPG
,,DJI_0160.JPG
,,DJI_0161.JPG
,,DJI_0162.JPG
,,DJI_0163.JPG
,,DJI_0198.JPG
,,DJI_0199.JPG
,,DJI_0200.JPG
,,DJI_0201.JPG
,,DJI_0213.JPG
,,DJI_0214.JPG
,,DJI_0215.JPG
,,DJI_0252.JPG
,,DJI_0253.JPG
,,DJI_0254.JPG
,,DJI_0267.JPG
00:00:04:300,00:00:04:400
,,DJI_0092.JPG
,,DJI_0093.JPG
,,DJI_0094.JPG
,,DJI_0107.JPG
,,DJI_0108.JPG
,,DJI_0109.JPG
,,DJI_0145.JPG
,,DJI_0146.JPG
,,DJI_0147.JPG
,,DJI_0159.JPG
,,DJI_0160.JPG
,,DJI_0161.JPG
,,DJI_0162.JPG
,,DJI_0198.JPG
,,DJI_0199.JPG
,,DJI_0200.JPG
,,DJI_0201.JPG
,,DJI_0212.JPG
,,DJI_0213.JPG
,,DJI_0214.JPG
,,DJI_0215.JPG
,,DJI_0252.JPG
,,DJI_0253.JPG
,,DJI_0254.JPG
,,DJI_0267.JPG
00:00:04:400,00:00:04:500
,,DJI_0093.JPG
,,DJI_0094.JPG
,,DJI_0107.JPG
,,DJI_0108.JPG
,,DJI_0109.JPG
,,DJI_0145.JPG
,,DJI_0146.JPG
,,DJI_0147.JPG
,,DJI_0159.JPG
,,DJI_0160.JPG
,,DJI_0161.JPG
,,DJI_0162.JPG
,,DJI_0198.JPG
,,DJI_0199.JPG
,,DJI_0200.JPG
,,DJI_0201.JPG
,,DJI_0212.JPG
,,DJI_0213.JPG
,,DJI_0214.JPG
,,DJI_0215.JPG
,,DJI_0252.JPG
,,DJI_0253.JPG
,,DJI_0254.JPG
,,DJI_0266.JPG
,,DJI_0267.JPG
00:00:04:500,00:00:04:600
,,DJI_0093.JPG
,,DJI_0094.JPG
,,DJI_0107.JPG
,,DJI_0108.JPG
,,DJI_0109.JPG
,,DJI_0145.JPG
,,DJI_0146.JPG
,,DJI_0147.JPG
